Date,Department,ARMS Department ID,Total # of Employees,# of Employees with Debt,% Employees with Debt,Total Amount Due
10/14/11,Administrative Hearings,,39,2,5.1,368
10/14/11,Animal Care & Control,,68,3,4.4,2564
10/14/11,Aviation,,1265,54,4.3,19092
10/14/11,Board of Elections,,112,5,4.5,1068
10/14/11,Board of Ethics,,6,0,0,0
10/14/11,Budget & Management,,50,1,2,400
10/14/11,Buildings,,283,4,1.4,861
10/14/11,Business Affairs & Consumer Protection,,183,7,3.8,3208
10/14/11,Chicago Board of Education,,48796,2832,5.8,962067
10/14/11,Chicago Housing Authority,,467,25,5.4,6137
10/14/11,Chicago Park District,,6420,422,6.6,229971
10/14/11,Chicago Public Library,,1031,30,2.9,8147
10/14/11,Chicago Transit Authority,,10279,1948,19,642713
10/14/11,City Clerk,,98,3,3.1,613
10/14/11,City Colleges of Chicago,,1867,50,2.7,16822
10/14/11,City Council,,425,33,7.8,11377
10/14/11,City Treasurer,,22,0,0,0
10/14/11,Compliance,,23,0,0,0
10/14/11,Cultural Affairs & Special Events,,48,0,0,0
10/14/11,Emergency Management & Communications,,1317,90,6.8,30416
10/14/11,Environment,,57,2,3.5,269
10/14/11,Family & Support Services,,866,38,4.4,13589
10/14/11,Finance,,175,4,2.3,7042
10/14/11,Fire,,4952,206,4.2,107117
10/14/11,Fleet Management,,593,21,3.5,8391
10/14/11,General Services,,490,32,6.5,9990
10/14/11,Housing & Economic Development,,295,7,2.4,1593
10/14/11,Human Relations,,28,0,0,0
10/14/11,Human Resources,,63,1,1.6,200
10/14/11,Innovation & Technology,,90,1,1.1,221
10/14/11,Independent Police Review Authority,,83,7,8.4,3957
10/14/11,Law,,426,2,0.5,2689
10/14/11,Mayor's Office for People with Disabilities,,32,0,0,0
10/14/11,Office of the Mayor,,72,0,0,0
10/14/11,Police,,13928,771,5.5,268656
10/14/11,Procurement Services,,59,0,0,0
10/14/11,Public Health,,835,42,5,14839
10/14/11,Revenue ,,405,16,4,30379
