NAME ,HOURS OF OPERATION,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,LOCATION
Vodak-East Side,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",3710 E. 106th St.,Chicago,IL,60617,(312) 747-5281,https://www.chipublib.org/locations/71/,"(41.70302747819179, -87.53350318470449)"
Albany Park,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",3401 W. Foster Ave.,Chicago,IL,60625,(773) 539-5450,https://www.chipublib.org/locations/3/,"(41.975456, -87.71409)"
Avalon,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",8148 S. Stony Island Ave.,Chicago,IL,60617,(312) 747-5234,https://www.chipublib.org/locations/8/,"(41.74671722160199, -87.58539658719002)"
Brainerd,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",1350 W. 89th St.,Chicago,IL,60620,(312) 747-6291,https://www.chipublib.org/locations/13/,"(41.732316757097045, -87.65723451581835)"
Popular Library at Water Works,"Mon. - Thu., 9-7; Fri. & Sat., 9-5; Sun., 1-5",163 E. Pearson St.,Chicago,IL,60611,(312) 742-8811,https://www.chipublib.org/locations/73/,"(41.89758435399726, -87.62314877110073)"
Little Italy,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5l",1336 W. Taylor St.,Chicago,IL,60607,(312) 746-5656,https://www.chipublib.org/locations/62/,"(41.867166, -87.660613)"
Edgebrook,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",5331 W. Devon Ave.,Chicago,IL,60646,(312) 744-8313,https://www.chipublib.org/locations/27/,"(41.9969708834685, -87.7620478920105)"
Kelly,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",6151 S. Normal Blvd.,Chicago,IL,60621,(312) 747-8418,https://www.chipublib.org/locations/40/,"(41.78217163315653, -87.63740786532117)"
Edgewater,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",6000 N. Broadway St.,Chicago,IL,60660,(312) 742-1945,https://www.chipublib.org/locations/28/,"(41.990996, -87.660757)"
North Austin,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",5724 W. North Ave.,Chicago,IL,60639,(312) 746-4233,https://www.chipublib.org/locations/54/,"(41.90942919798428, -87.76879898888265)"
