Relocated Date,Make,Color,Plate,State,Relocated From Address Number,Relocated From Street Direction,Relocated From Street Name,Relocated From Suffix,Relocated To Address Number,Relocated To Direction,Relocated To Street Name,Relocated To Suffix,Relocated Reason,Service Request Number,Relocated From X Coordinate,Relocated From Y Coordinate,Relocated From Latitude,Relocated From Longitude,Relocated From Location
06/10/2020 12:25:00 AM,Honda,Gray,BU9 0822,Illinois,936,N,LAKE SHORE SB,DR,323,E,LOWER WACKER DRIVE,,Broken Down,20-00042181,,,,,
06/10/2020 02:40:00 AM,Kia Motors Corp,Gray,MI. ECL1124,Michigan,1801,S,WABASH,,8700,S,STATE,,Accident,20-00042183,,,,,
06/18/2020 09:47:00 PM,Chevrolet,Black,BW25004,Illinois,900,N,SB OUTER LAKE SHORE,DRIVE,376,E,CHICAGO  AVENUE,,Broken Down,20-00044084,,,,,
06/19/2020 12:10:00 AM,Dodge,Red,JBGZ87,Florida,5346,S,LAKE SHORE SB,DR,1956,E,SCIENCE DRIVE,,Accident,20-00044085,,,,,
06/02/2020 12:22:00 PM,Lincoln,Black,197V529,Illinois,1040,W,FULLERTON,AVE,1110,N,FULLERTON,,Other,20-00040474,1168846.93987011,1916118.78370773,41.925353365,-87.654994515,"(41.92535336538783, -87.65499451549606)"
06/08/2020 06:25:00 AM,Honda,Gray,AZ38858,Illinois,5640,W,SCHUBERT,AVE,5635,W,SCHUBERT,,Forestry,20-00041583,1138200.62032115,1917382.97318341,41.929432493,-87.76757414,"(41.92943249296455, -87.76757413981716)"
06/08/2020 06:40:00 AM,Ford,Gray,BA68962,Illinois,2653,N,MAJOR,,2649,N,MAJOR,,Forestry,20-00041584,1137928.16357055,1917066.89318953,41.928570064,-87.768583005,"(41.92857006401382, -87.76858300529469)"
06/20/2020 04:11:00 AM,Toyota,Red,E22 7551,Illinois,615,E,PERSHING,ROAD,611,E,PERSHING ROAD,,Accident,20-00044336,1180802.60931018,1879242.58908389,41.823895294,-87.612202669,"(41.82389529410148, -87.61220266861422)"
06/10/2020 12:01:00 AM,Chevrolet,Silver,AK47894,Illinois,1023,N,LAKE SHORE NB,DR,1601,N,LAKE SHORE DRIVE LOT,,Accident,20-00042180,,,,,
06/04/2020 08:21:00 AM,Volkswagen,Black,V110558,Illinois,5519,W,QUINCY,ST,5503,W,QUINCY,,CDOT Speed Humps,20-00041049,1139759.82271478,1898457.79548097,41.877471198,-87.762307367,"(41.87747119781341, -87.76230736741468)"
06/20/2020 04:54:00 PM,Pontiac,Tan,CC38188,Illinois,5836,S,SB LAKESHORE,DR,302,E,LOWER WACKER DR,,Broken Down,20-00044338,1190079.09667558,1866715.47007868,41.7893014,-87.578574593,"(41.78930139976653, -87.57857459333474)"
07/15/2020 11:27:00 AM,Mazda,Black,V231329,Illinois,219,S,DESPLAINES,ST,350,E,LOWER WACKER,,Other,20-00049670,1171966.88171507,1899176.14999579,41.878793527,-87.644030678,"(41.87879352715063, -87.64403067847259)"
06/11/2020 11:41:00 AM,Toyota,Tan,P676559,Illinois,611,W,OAKDALE,,141,W,DIVERSEY,,CDOT Street Resurfacing,20-00042563,1171654.80033385,1919868.92999588,41.935582512,-87.644566481,"(41.935582511878735, -87.64456648147926)"
07/15/2020 11:55:00 AM,Mazda,Silver,CA74030,Illinois,2345,E,68TH,ST,2205,E,70TH ST.,,Water Management,20-00049687,1192978.74949506,1860333.34411666,41.771718066,-87.568150943,"(41.77171806570625, -87.56815094263811)"
06/17/2020 09:50:00 AM,Toyota,Blue,BD23481,Illinois,5,S,STATE,ST,3921,N,SPAULDING,,Other,20-00043705,1176376.59122814,1900376.50989122,41.881989057,-87.627803016,"(41.88198905663059, -87.62780301626108)"
07/09/2020 01:38:00 AM,Volkswagen,White,BW95858,Illinois,354,E,RIVER,DR,340,N,WACKER,,Accident,20-00048042,1178935.35372835,1902952.60838787,41.88899989,-87.618328574,"(41.88899988964017, -87.61832857392179)"
06/17/2020 09:58:00 AM,Volkswagen,Black,AU3167,Illinois,1611,W,HADDON,AVE,1039,N,HERMITAGE,,CDOT Street Resurfacing,20-00043706,1165406.99308715,1907680.43006704,41.90227196,-87.667875042,"(41.90227196048013, -87.66787504171106)"
06/17/2020 09:45:00 AM,Pontiac,Green,AK54241,Illinois,720,N,AUSTIN,BLVD,5704,W,HURON,,CDOT Street Resurfacing,20-00043701,1136242.03163203,1904237.52611769,41.893395044,-87.775085906,"(41.89339504408799, -87.77508590596005)"
06/10/2020 06:45:00 AM,Dodge,Gray,AW64607,Illinois,3919,N,PAGE,AVE,3908,N,PAGE,,Forestry,20-00042186,1121694.35241481,1925062.97526918,41.950790272,-87.828064913,"(41.950790272242095, -87.82806491316323)"
06/17/2020 09:54:00 AM,Audi,Blue,BY54584,Illinois,2368,E,70TH,ST,2208,E,70TH ST,,Other,20-00043703,1193197.38272448,1859005.15030758,41.768068064,-87.567392878,"(41.76806806443373, -87.56739287842213)"
06/08/2020 07:59:00 AM,Chevrolet,Red,BA59882,Illinois,1720,S,WOLCOTT,AVE,1841,W,16TH ST,,Other,20-00041594,1163980.38987731,1891689.74717385,41.858422443,-87.673566696,"(41.85842244260442, -87.67356669626109)"
06/03/2020 08:45:00 AM,GMC,Black,S619118,Illinois,209,N,ADA,ST,1235,W,FULTON,,Other,20-00040838,1167389.01611837,1901602.64071093,41.885551662,-87.660769798,"(41.88555166210244, -87.66076979816037)"
06/19/2020 12:50:00 PM,Lincoln,Gray,BT63919,Illinois,5324,S,LAKE SHORE SB,DR,1954,E,SCIENCE DRIVE,,Accident,20-00044086,,,,,
06/03/2020 08:40:00 AM,Kia Motors Corp,Black,AM36162,Illinois,5936,S,KOLMAR,,5936,S,KOLMAR,,CDOT Curb and Gutter,20-00040842,1147050.43946758,1864858.69507327,41.785134344,-87.736395139,"(41.78513434448005, -87.73639513935198)"
06/03/2020 08:45:00 AM,Toyota,Gray,Q619002,Illinois,4435,W,FULLERTON,AVE,2334,N,KOSTNER,,Water Management,20-00040834,1146295.31001563,1915586.24151173,41.924351669,-87.73787401,"(41.92435166946584, -87.73787400999046)"
07/12/2020 12:42:00 AM,Hyundai,Red,ADX0229,Arizona,3922,S,LAKE SHORE SB,DR,200,E,WACKER,,Accident,20-00048615,,,,,
07/12/2020 12:10:00 AM,Jeep,Red,AV77308,Illinois,3900,S,LAKE SHORE SB,DR,930,E,OAKWOOD,,Accident,20-00048616,,,,,
06/23/2020 01:37:00 AM,Honda,Silver,BB86459,,4636,N,SPAULDING,AVE,3246,W,WILSON,,Other,20-00044967,1153544.39969369,1930689.52040041,41.965654939,-87.710834614,"(41.9656549390493, -87.71083461427196)"
06/04/2020 08:26:00 AM,Toyota,Black,R377248,Illinois,6422,S,MOZART,ST,2834,W,65TH ST,,Water Management,20-00041051,1158483.92909766,1861929.5139721,41.776870782,-87.694554326,"(41.7768707821884, -87.69455432649656)"
06/04/2020 08:15:00 AM,Toyota,White,3401TX,Illinois,4116,W,MONTROSE,AVE,4116,W,MONTROSE,,Other,20-00041050,1148283.57447778,1928926.50198193,41.96092034,-87.730223343,"(41.9609203398382, -87.73022334327813)"
06/08/2020 06:55:00 AM,Toyota,Gray,AY55457,Illinois,2954,N,LAVERGNE,,2946,N,LAVERGNE,,Forestry,20-00041585,1142527.96890757,1919266.75513279,41.934522322,-87.75162521,"(41.9345223223358, -87.75162520969434)"
