Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
07/11/2020,FORD,4D,,SIL,K548686,IL,10300 S. Doty,(773) 568-8495,2901991
07/22/2020,FORD,4D,,GRY,BX97883,IL,701 N. Sacramento,(773) 265-7605,6989420
06/10/2020,HOND,2D,,BLU,,IL,701 N. Sacramento,(773) 265-1846,1540205
06/08/2020,MERC,4D,,BLU,BZ37724,IL,10300 S. Doty,(773) 568-8495,2901040
07/10/2020,FORD,PK,,BLU,186V395,IL,701 N. Sacramento,(773) 265-7605,6988896
06/26/2020,MERZ,LL,,GRY,051ENH,MO,701 N. Sacramento,(773) 265-7605,6988448
07/07/2020,FORD,LL,,GRY,198357,IL,701 N. Sacramento,(773) 265-7605,6988778
08/25/2020,TOYT,4D,,GRY,,,701 N. Sacramento,(773) 265-7605,6990872
07/22/2020,DODG,VN,,SIL,,IL,701 N. Sacramento,(773) 265-1846,1540294
06/10/2020,CHRY,VN,,BLU,BF24360,IL,701 N. Sacramento,(773) 265-7605,6988075
07/16/2020,NISS,4D,,GRY,DNS3951,MI,701 N. Sacramento,(773) 265-7605,6989102
06/26/2020,HOND,4D,,BLK,WDU220,NB,701 N. Sacramento,(773) 265-1846,1540227
08/14/2020,CHEV,2D,,GLD,,IL,10300 S. Doty,(773) 568-8495,2903177
08/31/2020,VOLK,LL,,BLK,,IL,10300 S. Doty,(773) 785-9752,1720427
06/22/2020,LEXS,LL,,WHI,AT93494,IL,701 N. Sacramento,(773) 265-7605,6988355
08/25/2020,PONT,4D,,BLK,K225089,IL,10300 S. Doty,(773) 568-8495,2903536
07/03/2020,JEEP,LL,,GRY,BG63110,IL,10300 S. Doty,(773) 568-8495,2901721
07/03/2020,CHRY,LL,,SIL,719000,IL,701 N. Sacramento,(773) 265-7605,6988628
08/25/2020,NISS,4D,,SIL,206U196,IL,10300 S. Doty,(773) 568-8495,2903537
08/22/2020,VOLV,4D,,BLU,187V026,IL,701 N. Sacramento,(773) 265-7605,6990758
08/08/2020,DODG,VN,,GRY,,,701 N. Sacramento,(773) 265-7605,6990207
06/08/2020,DODG,PK,TK,BLK,CA36654,IL,701 N. Sacramento,(773) 265-7605,6988017
07/11/2020,FORD,4D,FOC,RED,778GAG,IN,10300 S. Doty,(773) 568-8495,2901990
08/31/2020,LEXS,4D,,TAN,,IL,10300 S. Doty,(773) 785-9752,1720428
08/01/2020,FORD,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6989831
08/01/2020,INFI,4D,,GRN,,,701 N. Sacramento,(773) 265-7605,6989830
08/22/2020,BUIC,4D,,RED,422V861,IL,10300 S. Doty,(773) 568-8495,2903420
06/26/2020,CADI,4D,,SIL,BY25232,IL,701 N. Sacramento,(773) 265-7605,6988449
06/08/2020,FORD,4D,,BLK,2490945,IL,10300 S. Doty,(773) 568-8495,2901041
08/19/2020,MITS,4D,GAL,WHI,R4978M,WI,701 N. Sacramento,(773) 265-7605,6990618
07/22/2020,GMC,VN,,TAN,,IL,10300 S. Doty,(773) 785-9752,1720258
06/22/2020,TOYT,VN,,MAR,BK11612,IL,701 N. Sacramento,(773) 265-1846,1540217
07/07/2020,CHRY,LL,,LBL,CBX146,IN,701 N. Sacramento,(773) 265-7605,6988782
08/28/2020,CADI,LL,,GRN,BF83834,IL,10300 S. Doty,(773) 568-8495,2903651
